t,gt_x,gt_y,gt_theta,gt_psi1,odom_x,odom_y,odom_theta,odom_psi1,v_cmd,w_cmd
5.299999999999997158e+00,3.349011579053480236e+00,1.717192682002797177e+00,8.270902169009362037e-01,3.683675411785431453e-01,3.354820454049307621e+00,1.704196790604905587e+00,8.270902169009374250e-01,3.694898854923375220e-01,4.952158215903705862e-01,3.005987949030930473e-02
5.399999999999996803e+00,3.382554170052314291e+00,1.753737520516419401e+00,8.295736039487431324e-01,3.528290507917807850e-01,3.388403872378556780e+00,1.740704130937791305e+00,8.295736039487441316e-01,3.535619144004085168e-01,4.960475667573118197e-01,2.483387047806662196e-02
5.499999999999996447e+00,3.416059117221964314e+00,1.790409569426933523e+00,8.316272830672497562e-01,3.375740264016406367e-01,3.421942701750140703e+00,1.777345206782581455e+00,8.316272830672509775e-01,3.379394276893235571e-01,4.967314681676502919e-01,2.053679118506845924e-02
5.599999999999996092e+00,3.449532407131612910e+00,1.827186649143116126e+00,8.333273806521555027e-01,3.226735179930683151e-01,3.455444121936445789e+00,1.814096671583630194e+00,8.333273806521571681e-01,3.226945306101515754e-01,4.972942106562358022e-01,1.700097584906212766e-02
5.699999999999995737e+00,3.482979088276648927e+00,1.864050525634527000e+00,8.347363226442214845e-01,3.081801526451175000e-01,3.488914171676704257e+00,1.850939337688874975e+00,8.347363226442227058e-01,3.078804034866839956e-01,4.977575991743302120e-01,1.408941992065582127e-02
5.799999999999995381e+00,3.516403405460877263e+00,1.900986199185888514e+00,8.359053329151076017e-01,2.941316741609460439e-01,3.522357916302286007e+00,1.887857425194974015e+00,8.359053329151083789e-01,2.935349349601827362e-01,4.981394623686335454e-01,1.169010270885650904e-02
5.899999999999995026e+00,3.549808920063700857e+00,1.937981322583567367e+00,8.368764705062978759e-01,2.805538415789345930e-01,3.555779596324683212e+00,1.924837947891182344e+00,8.368764705062988751e-01,2.796837008893105492e-01,4.984543865193967194e-01,9.711375911905406610e-03
5.999999999999994671e+00,3.583198615542380505e+00,1.975025725052434566e+00,8.376842919502089924e-01,2.674628013338462562e-01,3.589182756864282009e+00,1.961870211099127514e+00,8.376842919502095475e-01,2.663424051029888440e-01,4.987143122406598184e-01,8.078214439106725167e-03
6.099999999999994316e+00,3.616574988676954039e+00,2.012111022589850418e+00,8.383572085258870210e-01,2.548670272531879943e-01,3.622570358982232896e+00,1.998945400847314868e+00,8.383572085258877982e-01,2.535188775265770911e-01,4.989290200069232961e-01,6.729165756782951036e-03
6.199999999999993960e+00,3.649940127671110091e+00,2.049230298892706692e+00,8.389185951015840637e-01,2.427689057272995610e-01,3.655944874564037939e+00,2.036056247614744574e+00,8.389185951015846188e-01,2.412147082671533549e-01,4.991065255149241819e-01,5.613865756968206000e-03
6.299999999999993605e+00,3.683295778489360739e+00,2.086377843976683799e+00,8.393876965581068550e-01,2.311660295825621880e-01,3.689308366627272129e+00,2.073196750975265790e+00,8.393876965581069660e-01,2.294265823442045993e-01,4.992534018438286592e-01,4.691014565223250443e-03
6.399999999999993250e+00,3.716643400876157965e+00,2.123548939958110005e+00,8.397803691679859295e-01,2.200522528554538504e-01,3.722662556937633482e+00,2.110361953998734830e+00,8.397803691679857074e-01,2.181473683258305374e-01,4.993750421312099785e-01,3.926726098787636232e-03
6.499999999999992895e+00,3.749984215453324055e+00,2.160739685403820776e+00,8.401096873269107146e-01,2.094185493596596725e-01,3.756008882712372987e+00,2.147547758321387779e+00,8.401096873269107146e-01,2.073670047275444073e-01,4.994758738715715518e-01,3.293181589250516062e-03
6.599999999999992539e+00,3.783319243182712288e+00,2.197946851232700727e+00,8.403864403772784986e-01,1.992537102934052451e-01,3.789348544027059340e+00,2.184750772472504821e+00,8.403864403772789426e-01,1.970732202876609995e-01,4.995595338401813135e-01,2.767530503682502641e-03
6.699999999999992184e+00,3.816649338344987541e+00,2.235167762439646211e+00,8.406195396744196024e-01,1.895449098519091657e-01,3.822682543356384688e+00,2.221968187408314144e+00,8.406195396744203796e-01,1.872521178549670096e-01,4.996290109462869222e-01,2.330992971414369563e-03
6.799999999999991829e+00,3.849975216042593296e+00,2.272400200962251038e+00,8.408163523199561062e-01,1.802781626472447496e-01,3.856011718493165041e+00,2.259197674315016613e+00,8.408163523199566614e-01,1.778886463699708431e-01,4.996867629459990634e-01,1.968126455363039540e-03
6.899999999999991473e+00,3.883297475096716855e+00,2.309642325866464674e+00,8.409829749598127790e-01,1.714386924959238057e-01,3.889336769913305236e+00,2.296437300647946156e+00,8.409829749598134452e-01,1.689669810931471727e-01,4.997348118323577393e-01,1.666226398567838491e-03
6.999999999999991118e+00,3.916616617080110441e+00,2.346892607725652891e+00,8.411244585848252076e-01,1.630112286500928487e-01,3.922658283493890785e+00,2.333685461111548509e+00,8.411244585848258737e-01,1.604708286702186126e-01,4.997748218171271795e-01,1.414836250124063000e-03
7.099999999999990763e+00,3.949933062112537030e+00,2.384149774637085439e+00,8.412449932736929537e-01,1.549802426877346373e-01,3.955976749348734778e+00,2.370940820886202172e+00,8.412449932736936198e-01,1.523836706925857654e-01,4.998081630845266354e-01,1.205346888677016892e-03
7.199999999999990408e+00,3.983247161943634929e+00,2.421412767784592468e+00,8.413480601963749805e-01,1.473301369314838627e-01,3.989292577420514796e+00,2.408202268898170573e+00,8.413480601963756467e-01,1.446889570014762150e-01,4.998359638978588371e-01,1.030669226820268847e-03
7.299999999999990052e+00,4.016559210758362752e+00,2.458680704835235709e+00,8.414365568833834796e-01,1.400453933458425948e-01,4.022606110359622456e+00,2.445468879328620115e+00,8.414365568833842568e-01,1.373702580083475677e-01,4.998591531481531569e-01,8.849668700865455069e-04
7.399999999999989697e+00,4.049869454060979201e+00,2.495952849766945203e+00,8.415129007103270276e-01,1.331106902976560147e-01,4.055917634124772242e+00,2.482739879883141931e+00,8.415129007103278047e-01,1.304113836901733547e-01,4.998784950256738302e-01,7.634382694354790999e-04
7.499999999999989342e+00,4.083178095922226802e+00,2.533228587975562718e+00,8.415791147086468804e-01,1.265109932996541509e-01,4.089227386656306251e+00,2.520014625607693404e+00,8.415791147086481017e-01,1.237964756110602332e-01,4.998946171486544077e-01,6.621399832031915622e-04
